time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,2,1,0,0
2026-06-10 00:00:00+00:00,0,0,0,0
2026-06-11 00:00:00+00:00,1,1,0,0
2026-06-12 00:00:00+00:00,0,0,0,0
2026-06-13 00:00:00+00:00,1,1,0,0
2026-06-14 00:00:00+00:00,1,1,0,0
2026-06-15 00:00:00+00:00,0,0,0,0
2026-06-16 00:00:00+00:00,1,1,0,0
2026-06-17 00:00:00+00:00,0,0,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,5,2,1,1
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,0,0,0,0
2026-06-22 00:00:00+00:00,21,6,0,0
2026-06-23 00:00:00+00:00,72,36,23,1
2026-06-24 00:00:00+00:00,5,5,0,0
2026-06-25 00:00:00+00:00,19,6,0,0
2026-06-26 00:00:00+00:00,25,9,0,0
2026-06-27 00:00:00+00:00,16,7,0,0
2026-06-28 00:00:00+00:00,2,2,0,0
2026-06-29 00:00:00+00:00,14,4,0,0
2026-06-30 00:00:00+00:00,3,3,0,0
2026-07-01 00:00:00+00:00,12,4,0,0
2026-07-02 00:00:00+00:00,14,8,0,0
2026-07-03 00:00:00+00:00,27,9,0,0
2026-07-04 00:00:00+00:00,33,11,0,0
2026-07-05 00:00:00+00:00,8,4,0,0
2026-07-06 00:00:00+00:00,15,6,1,1
2026-07-07 00:00:00+00:00,15,6,3,1
2026-07-08 00:00:00+00:00,6,2,0,0
2026-07-09 00:00:00+00:00,3,2,0,0
2026-07-10 00:00:00+00:00,1,1,0,0
2026-07-11 00:00:00+00:00,2,2,0,0
2026-07-12 00:00:00+00:00,2,2,0,0
2026-07-13 00:00:00+00:00,15,6,0,0
2026-07-14 00:00:00+00:00,15,6,0,0
2026-07-15 00:00:00+00:00,23,10,0,0
2026-07-16 00:00:00+00:00,14,5,0,0
2026-07-17 00:00:00+00:00,8,4,0,0
2026-07-18 00:00:00+00:00,16,7,0,0
2026-07-19 00:00:00+00:00,10,5,0,0
2026-07-20 00:00:00+00:00,2,2,0,0
2026-07-21 00:00:00+00:00,2,2,0,0
2026-07-22 00:00:00+00:00,10,6,0,0
2026-07-23 00:00:00+00:00,21,7,0,0
2026-07-24 00:00:00+00:00,9,5,0,0
2026-07-25 00:00:00+00:00,18,9,0,0
2026-07-26 00:00:00+00:00,15,6,0,0
2026-07-27 00:00:00+00:00,2,2,0,0
2026-07-28 00:00:00+00:00,13,8,0,0
2026-07-29 00:00:00+00:00,9,4,0,0
2026-07-30 00:00:00+00:00,3,3,0,0
